District ID,District Name,School ID,School Name,School Year,Dropouts,Enrollment,Annual Dropout Rate,G9,G10,G11,G12
279,Amistad Academy District,51,Amistad Academy,2009-10,4,122,3.3,0,8.8,3.4,0
2,Ansonia School District,61,Ansonia High School,2009-10,22,777,2.8,3.7,4.4,1.2,1.3
244,Area Cooperative Educational Services,61,Collaborative Alternative Magnet School,2009-10,0,71,0,0,0,0,0
4,Avon School District,61,Avon High School,2009-10,3,1079,0.3,0,0.4,0,0.7
7,Berlin School District,61,Berlin High School,2009-10,17,1022,1.7,0,0.4,1.1,5.2
9,Bethel School District,61,Bethel High School,2009-10,2,987,0.2,0,0,0,0.7
11,Bloomfield School District,61,Bloomfield High School,2009-10,19,630,3,4.9,2.2,3.4,1.9
11,Bloomfield School District,62,The Big Picture High School,2009-10,2,88,2.3,2.8,0,0,9.1
12,Bolton School District,61,Bolton High School,2009-10,1,297,0.3,0,0,0,1.4
14,Branford School District,61,Branford High School,2009-10,5,1109,0.5,0,0.4,0.7,0.6
15,Bridgeport School District,61,Bassick High School,2009-10,148,1153,12.8,7.2,16.7,14.3,12
15,Bridgeport School District,62,Central High School,2009-10,92,2218,4.1,2,3.1,3,9.3
15,Bridgeport School District,14,Cesar Batalla School,2009-10,NA,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,63,Harding High School,2009-10,183,1545,11.8,0.6,7.7,9.9,27.5
17,Bristol School District,61,Bristol Central High School,2009-10,29,1363,2.1,3.1,2.8,1.7,0.6
17,Bristol School District,62,Bristol Eastern High School,2009-10,20,1305,1.5,1.2,0.6,1.7,2.8
18,Brookfield School District,61,Brookfield High School,2009-10,13,1016,1.3,0,0.4,1.9,2.6
23,Canton School District,61,Canton High School,2009-10,1,514,0.2,0,0.8,0,0
241,Capitol Region Education Council,52,CREC - Public Safety Academy Interdistrict Magnet School,2009-10,0,59,0,0,0,0,0
241,Capitol Region Education Council,63,Great Path Academy at MCC,2009-10,1,234,0.4,0,0,1,0
241,Capitol Region Education Council,64,Greater Hartford Academy of  the Arts - Full Time,2009-10,0,274,0,0,0,0,0
241,Capitol Region Education Council,51,Greater Hartford Academy of Math and Science,2009-10,0,87,0,0,0,0,0
241,Capitol Region Education Council,61,Metropolitan Learning Center,2009-10,2,377,0.5,0,0,0,2.3
25,Cheshire School District,61,Cheshire High School,2009-10,3,1549,0.2,0,0.2,0.6,0
27,Clinton School District,61,The Morgan School,2009-10,4,558,0.7,0,0.8,0.7,1.3
28,Colchester School District,61,Bacon Academy,2009-10,9,1003,0.9,0.4,0,1.2,1.9
268,Common Ground High School District,61,Common Ground High School,2009-10,1,160,0.6,0,0,0,4.5
900,Connecticut Technical High School System,15,A. I. Prince Technical High School,2009-10,2,683,0.3,0,0,1.3,0
900,Connecticut Technical High School System,11,Bullard-Havens Technical High School,2009-10,0,886,0,0,0,0,0
900,Connecticut Technical High School System,19,E. C. Goodwin Technical High School,2009-10,1,544,0.2,0,0.6,0,0
900,Connecticut Technical High School System,14,Eli Whitney Technical High School,2009-10,1,511,0.2,0.6,0,0,0
900,Connecticut Technical High School System,27,Ella T. Grasso Southeastern Technical High School,2009-10,1,591,0.2,0,0,0,0.8
900,Connecticut Technical High School System,25,Emmett O'Brien Technical High School,2009-10,3,514,0.6,0,0,0.8,1.8
900,Connecticut Technical High School System,17,H. C. Wilcox Technical High School,2009-10,1,781,0.1,0,0,0.5,0
900,Connecticut Technical High School System,13,H. H. Ellis Technical High School,2009-10,3,566,0.5,0,0,0.8,1.5
900,Connecticut Technical High School System,12,Henry Abbott Technical High School,2009-10,2,671,0.3,0,0,1.1,0
900,Connecticut Technical High School System,16,Howell Cheney Technical High School,2009-10,0,623,0,0,0,0,0
900,Connecticut Technical High School System,20,Norwich Technical High School,2009-10,3,557,0.5,0,0,0,3.1
900,Connecticut Technical High School System,22,Oliver Wolcott Technical High School,2009-10,4,761,0.5,0,0,1.5,0.5
900,Connecticut Technical High School System,26,Platt Technical High School,2009-10,0,880,0,0,0,0,0
