District ID,District Name,School Year,Asian,American Indian,"Black, not of Hispanic Origin",Hispanic/Latino,"White, not of Hispanic Origin"
279,Amistad Academy District,2009-10,0,0,3.9,2.2,0
002,Ansonia School District,2009-10,0,0,4.9,3.3,1.9
244,Area Cooperative Educational Services,2009-10,0,0,0,0,0
004,Avon School District,2009-10,0,0,4.3,0,0.2
007,Berlin School District,2009-10,0,0,14.3,8.7,1.5
009,Bethel School District,2009-10,0,0,0,0,0.2
011,Bloomfield School District,2009-10,0,0,2.9,1.8,7.7
012,Bolton School District,2009-10,0,0,0,0,0.4
014,Branford School District,2009-10,0,33.3,0,2.4,0.3
015,Bridgeport School District,2009-10,2,0,7.3,10.5,7.8
017,Bristol School District,2009-10,1.9,0,2.9,3.8,1.4
018,Brookfield School District,2009-10,3.1,0,0,0,1.3
023,Canton School District,2009-10,0,0,0,0,0.2
241,Capitol Region Education Council,2009-10,0,0,0.7,0,0
025,Cheshire School District,2009-10,0,0,0,0,0.2
027,Clinton School District,2009-10,0,0,0,0,0.8
028,Colchester School District,2009-10,0,0,0,0,1
268,Common Ground High School District,2009-10,0,0,1.5,0,0
900,Connecticut Technical High School System,2009-10,1.1,0,0.1,0.2,0.3
032,Coventry School District,2009-10,0,0,0,0,0.4
033,Cromwell School District,2009-10,0,0,4.2,0,0
034,Danbury School District,2009-10,3.3,50,3.7,7.2,2.5
035,Darien School District,2009-10,0,0,0,0,0
037,Derby School District,2009-10,0,0,11.8,2.7,3
040,East Granby School District,2009-10,0,0,0,0,1.3
041,East Haddam School District,2009-10,0,0,0,0,1.3
042,East Hampton School District,2009-10,0,0,10,0,0.6
043,East Hartford School District,2009-10,1.6,0,3,5,1.3
044,East Haven School District,2009-10,0,0,0,1,0.6
045,East Lyme School District,2009-10,0,0,0,5.4,0.7
047,East Windsor School District,2009-10,0,0,0,8,1.4
253,Eastern Connecticut Regional Educational Service Center,2009-10,0,0,0,0,0
048,Ellington School District,2009-10,0,0,0,0,0.6
289,Elm City College Preparatory School,2009-10,0,0,0,0,0
049,Enfield School District,2009-10,2.1,16.7,1.5,2.2,2
272,Explorations District,2009-10,0,0,0,0,8
051,Fairfield School District,2009-10,1.5,0,2.2,2.6,0.9
052,Farmington School District,2009-10,0,0,0,4.7,0.7
054,Glastonbury School District,2009-10,0.6,0,0,3.2,0.7
056,Granby School District,2009-10,0,0,0,0,0.4
057,Greenwich School District,2009-10,0,0,1.2,1.6,0.1
058,Griswold School District,2009-10,0,0,5.9,10,2.7
059,Groton School District,2009-10,0,0,1,2.8,0.2
060,Guilford School District,2009-10,0,0,0,0,0.1
062,Hamden School District,2009-10,0,0,1.2,2.1,0
064,Hartford School District,2009-10,4.1,0,7,8.3,2.1
069,Killingly School District,2009-10,8.3,0,7.1,14.8,7.2
071,Lebanon School District,2009-10,0,0,0,0,0.4
072,Ledyard School District,2009-10,0,3,0,0,0.9
073,Lisbon School District,2009-10,0,0,0,0,9.1
074,Litchfield School District,2009-10,0,0,0,0,0.3
076,Madison School District,2009-10,0,0,0,0,0.2
077,Manchester School District,2009-10,3.6,0,1.7,1.7,1.4
080,Meriden School District,2009-10,0,0,3.2,2.6,1.8
083,Middletown School District,2009-10,0,0,1.2,2.9,0.4
084,Milford School District,2009-10,0,0,2,0.7,1.4
085,Monroe School District,2009-10,0,0,0,0,0
086,Montville School District,2009-10,1.6,0,2.3,0,1.3
088,Naugatuck School District,2009-10,NA,NA,NA,NA,NA
089,New Britain School District,2009-10,5.3,0,5.5,7.7,4
090,New Canaan School District,2009-10,0,0,0,0,0.2
091,New Fairfield School District,2009-10,0,0,0,0,0.2
093,New Haven School District,2009-10,2.5,0,7,8.6,3
095,New London School District,2009-10,0,0,3.7,2.1,1.9
096,New Milford School District,2009-10,0,0,4.3,0,1.6
094,Newington School District,2009-10,0,0,0,1.5,0.3
097,Newtown School District,2009-10,0,0,0,0,0.5
099,North Branford School District,2009-10,6.2,0,0,0,1
101,North Haven School District,2009-10,0,0,1.3,2.8,0.5
102,North Stonington School District,2009-10,0,25,0,0,0.5
103,Norwalk School District,2009-10,0.7,0,1.4,1.4,0.6
901,Norwich Free Academy,2009-10,1.3,2.6,2,2.1,0.9
104,Norwich School District,2009-10,0,0,9.1,0,2.5
106,Old Saybrook School District,2009-10,0,0,0,0,0.6
